Timestamp,Account Number,Activity
2024-06-03 02:51:05,3460530186,Sign in
2024-06-03 02:51:15,3460530186,Deposit of 600.0
2024-06-03 02:52:16,3460530186,Transfer of 900.0 to 3647548330
2024-06-03 02:52:52,3460530186,Payment of bill: 500.0
2024-06-03 02:53:29,3460530186,Check balance
2024-06-03 02:57:58,3368062754,Sign in
2024-06-03 02:58:13,3368062754,Deposit of 70000.0
2024-06-03 02:58:33,3368062754,Payment of bill: 200.0
2024-06-03 03:05:27,3647548330,Sign in
2024-06-03 03:12:37,3647548330,Sign in
2024-06-03 03:12:46,3647548330,Deposit of 6000.0
2024-06-03 03:12:53,3647548330,Withdrawal of 680.0
2024-06-03 03:15:59,3647548330,Sign in
2024-06-03 03:16:25,3647548330,Transfer of 720.0 to 5945810967
2024-06-03 03:16:28,3647548330,Check balance
2024-06-03 03:20:18,5945810967,Sign in
2024-06-03 03:21:19,5945810967,Withdrawal of 720.0
2024-06-03 12:28:54,3460530186,Deposited $500
2024-06-03 12:28:54,3460530186,Withdrew $200
2024-06-03 12:28:54,3460530186,Paid bill $100
2024-06-06 19:10:45,3647548330,Sign in
2024-06-06 19:18:22,3647548330,Sign in
2024-06-06 19:18:46,3647548330,Payment of bill: 3.0
2024-06-06 19:25:52,3647548330,Sign in
2024-06-06 19:26:04,3647548330,Payment of bill: 399.0
2024-06-06 22:03:05,3647548330,Sign in
2024-06-06 22:04:53,3647548330,Sign in
2024-06-07 01:59:04,3647548330,Sign in
2024-06-07 02:06:23,3647548330,Sign in
2024-06-07 02:14:20,3647548330,Sign in
2024-06-07 02:28:28,3647548330,Sign in
2025-03-24 13:28:27,4764565306,Sign in
2025-03-24 13:28:44,4764565306,Check balance
2025-03-24 13:29:18,4764565306,Sign in
2025-03-24 13:29:25,4764565306,Deposit of 10000000.0
2025-03-24 13:30:06,4764565306,Transfer of 2999.0 to 3647548330
2025-04-04 11:48:16,1340026337,Sign in
2025-04-04 11:48:22,1340026337,Check balance
2025-04-04 11:50:52,1340026337,Deposit of 10000000.0
2025-04-04 11:52:43,1340026337,Sign in
2025-04-04 11:53:23,1340026337,Sign in
2025-04-04 11:55:03,1340026337,Sign in
