Full Name,PIN,Account Number,Balance
gidugugsdi guigsifg,5678,3460530186,None
gjhgrh rguhguo,2345,3647548330,9597.0
ywfuoygouyo ouguorhr,6677,3368062754,None
	wrruogooirg ihrihrih,2345,5945810967,0.0
arinze ikeojukwu,1234,4764565306,9997001.0
arinze ike,9090,5356697517,0.0
5555 7777,909,1319172653,0.0
6666 7777,9090,8251375451,0.0
tyuuii ioioi,0909,5343374233,0.0
weer rrr,8907,2734640074,0.0
ryrykrd tdftuul,8908,1186667485,0.0
qqq yyyy,0909,4189877524,0.0
orfoirh ujuogour,8909,1340026337,10000000.0
